Headline,Date,Newspaper,News Section,Gender of Subject (M/F/Mixed/Unspecified),Occupational Frame ,Region (Local/International),Tone (Positive/Negative/Neutral),Descriptive Frame,Sterotype
Abiodun inaugurates renovated Olumo Rock Tourism Complex,1-Aug,The Nation,Politics,Male,Politician,Local,Positive,Achievement,Yes
"Okpebholo vows to step up crackdown on cultists, kidnappers",1-Aug,The Nation,Politics,Male,Politician,Local,Neutral,Security,No
Olubadan-in-Council to nominate Ladoja as Olubadan on Monday,1-Aug,The Nation,Politics,Male,Politician,Local,Neutral,Leadership,No
Adeniyi gets one-year tenure extension as Customs’ CG,1-Aug,The Nation,Politics,Male,Government,Local,Neutral,Appointment,No
Reminisce to release upcoming album September,1-Aug,The Nation,Politics,Male,Entertainment,Local,Positive,Artsitic Achievement,No
"ADC not strong enough to unseat Tinubu, says Idimogu",1-Aug,The Nation,Politics,Male,Politician,Local,Neutral,Election Strategy,No
"Madugu, Ajibade recount WAFCON glory, target global challenges",1-Aug,The Nation,Politics,Male,Politician,Local,Neutral,Sport Achievement,
Former President Buhari’s 12 million votes gone with him,1-Aug,The Nation,Politics,Male,Politician,Local,Neutral,Election Legacy,No
"Taking power from South in 2027 is undesirable, says Aliyu",1-Aug,The Nation,Politics,Male,Politician,Local,Neutral,Regional Power,No
Gloria Jones to headline NIBAD ’25,1-Aug,The Nation,Politics,Female,Entertainment,Local,Neutral,Cultural Achievement,No
"Elumelu: Africa Must Lead Own Devt, Bridge Infrastructure, Energy Gaps",1-Aug,This Day,Politics,Male,Business,Local,Neutral,Leadership Vision,No
"Wema Bank: Empowering Nigerian Youth Through Financial Literacy, Educational Mentorship",1-Aug,This Day,Politics,Male,Politics,Local,Positive,,
Mai Gaskiya: Can Obi Inherit Buhari’s 12.7m Votes?,1-Aug,This Day,Politics,Male,Politician,Local,Neutral,Election Contest,No
Okpebholo: Quietly Turning Edo Around For Good,1-Aug,This Day,Politics,Male,Politician,Local,Neutral,Governance,No
The Quiet Reformer: Ajayi Ushers In New Era At Nigeria’s DSS,1-Aug,This Day,Politics,Male,Government,Local,Positive,Governance,No
As Tinubu Transforms Health Care Delivery System In The North In Two Years…,1-Aug,This Day,Politics,Male,Government,Local,Positive,Governance,No
Osimhen: I’m Happy To Continue My Story With Galatasaray,1-Aug,This Day,Politics,Male,Sport,Local,Positive,Career Progress,No
FG Approves N712 Billion For Full Rehabilitation Of Lagos Airport Terminal One,1-Aug,This Day,Politics,Not Specified,Government,Local,Positive,Development,No
Change Of Guard On NASD As Bolo Emerges Chairman,1-Aug,This Day,Politics,Male,Security,Local,Positive,Appointment,No
CIS President Urges FG To Strengthen Ecosystem For Economic Growth,1-Aug,This Day,Politics,Male,Economy,Local,Positive,Development,No
Marketers warn against disruption as Dangote plans direct fuel supply,1-Aug,Punch,Politics,Not Specified,Economy,Local,Negative,Economy Warning,No
Tinubu approves tenure extension for Customs CG,1-Aug,Punch,Politics,Male,Government,Local,Positive,Appointment,No
Peter Obi would win northern states if he returns to PDP – Jerry Gana,1-Aug,Punch,Politics,Male,Politician,Local,Neutral,Election Projection,No
"Dino Melaye resigns from PDP, cites party’s ‘lack of potency’",1-Aug,Punch,Politics,Male,Politician,Local,Negative,Resignation,No
US opera legend Robert Wilson dies at 83,1-Aug,Punch,Politics,Male,Entertainment,International,Negative,Death,No
Trump hikes tariffs on Canada to 35% amid political tensions,1-Aug,Punch,Politics,Male,Politicians,International,Negative,Economic Policy,No
"Abiodun to concession Olumo Rock, grants tourists free entry",1-Aug,Punch,Politics,Male,Government,Local,Positive,Tourism Development,No
I haven’t paid any bandit one naira — Kaduna gov,1-Aug,Punch,Politics,Male,Government,Local,Neutral,Denial,No
Ekiti students get N1.7m scholarships,1-Aug,Punch,Politics,Mixed,Education,Local,Positive,,No
Olubadan: Chiefs to begin deliberations on Ladoja’s enthronement,1-Aug,Punch,Politics,Not Specified,Tradition,Local,Positive,Leadership,No
BBNaija10: Joana Emerges First Winner Of Arena Game Challenge,1-Aug,Leadership,Politics,Female,Entertainment,Local,Positive,Reality TV  Achievement,No
"BBNaija10: Tension As Denari, Otega Clash Over Piece Of Chicken",1-Aug,Leadership,Politics,Mixed,Entertainment,Local,Negative,Conflict,No
Abiodun Inaugurates Renovated Olumo Rock Tourism Complex,1-Aug,Leadership,Politics,Male,Government,Local,Positive,Tourism Development,No
"Fayose Behind PDP Collapse In Ekiti, Says Senator Olujimi",1-Aug,Leadership,Politics,Male,Politician,Local,Neutral,Blame Game,No
Tinubu Will Get 15m Votes In 2017- APC Chieftain,1-Aug,Leadership,Politics,Male,Politician,Local,Neutral,Election Projection,No
Stakeholders Urge Students To Prioritise Skills’ Acquisition,1-Aug,Leadership,Politics,Mixed,Education,Local,Neutral,Advocacy,No
"Tinubu, Saraki, Obi, Others Hail Igbinedion At Biography Launch",1-Aug,Leadership,Politics,Not Specified,Politician,Local,Positive,Celebration,No
Ekiti Traditional Rulers’ Council Gets New Chairman,1-Aug,Leadership,Politics,Not Specified,Tradition,Local,Positive,Leadership ,No
NNPP Demands Resignation Of Osun Assembly Speaker,1-Aug,Leadership,Politics,Not Specified,Politician,Local,Negative,Conflict,No
"Shun Cybercrime To Avoid Regret, EFCC Warns Youths",1-Aug,Leadership,Politics,Not Specified,Government,Local,Neutral,Warning,No
Tinubu challenges governors to drive reform gains to grassroots,1-Aug,Tribune,Politics,Male,Government,Local,Neutral,Development Call,No
Appeal Court affirms Aiyedatiwa’s election as Ondo governor,1-Aug,Tribune,Politics,Not Specified,Politics,Local,Neutral,Judicial Ruling,No
Tinubu extends Adeniyi’s tenure as Customs CG,1-Aug,Tribune,Politics,Male,Politics,Local,Neutral,Appointment,No
Tinubu committed to achieving food sovereignty in Nigeria — Shettima,1-Aug,Tribune,Agriculture,Male,Farmers,Local,Neutral,Agriculture Policy,No
"We want better salaries, not loans, ASUU tells FG",1-Aug,Tribune,Politics,Not Specified,Education,Local,Negative,Union Demand,No
"Nigeria generates less than 7,000MW for over 200 million people — Elumelu",1-Aug,Tribune,Politics,Male,Business,Local,Neutral,,No
Trump’s govt rakes in $87bn from tariffs,1-Aug,Tribune,Politics,Male,Economy,International,Neutral,Economic Performance,No
"Trump announces trade deal with South Korea, sets tariffs at 15%",1-Aug,Tribune,Politics,Male,Economy,International,Neutral,Economic Policy,No
"FULL LIST: Trump sets new tariff rates on US imports from EU, Nigeria, others",1-Aug,Tribune,Politics,Male,Economy,International,Negative,Economy Policy,No
"We want better salaries, not loans, ASUU tells FG",1-Aug,Tribune,Politics,Not Specified,Education,Local,Negative,Union Demand,No
"Tinubu has shown capacity in governance, says Ukachukwu",2-Aug,The Nation,Politics,Male,Politics,Local,Positive,Leadership Praise,No
"Our suspension by Ebonyi governor in order, says Commissioner",2-Aug,The Nation,Politics,Not Specified,Politics,Local,Negative,Conflict Response,No
Ondo farmers regain freedom five days after abduction,2-Aug,The Nation,Agriculture,Not Specified,Farmers,Local,Positive,Release,No
"First Lady welcomes Taiwan’s Chief of Mission, urges stronger cultural, trade ties",2-Aug,The Nation,Politics,Female,Culture,Local,Positive,Diplomacy,No
Tinubu appoints Kaita as chairman of Bayero University’s governing council,2-Aug,The Nation,Politics,Male,Education,Local,Positive,Appointment,No
BBNaija’s Nne pays tribute to late Fish Magnet,2-Aug,The Nation,Politics,Female,Entertainment,Local,Neutral,Tribute,No
"Actress Omotola Odunsi dies, colleagues, fans mourn",2-Aug,The Nation,Politics,Female,Entertainment,Local,Negative,Tribute,No
Odumodublvck dismisses streaming farm allegations,2-Aug,The Nation,Politics,Male,Entertainment,Local,Neutral,Defence,No
Peter Okoye reacts to false ‘narrative’,2-Aug,The Nation,Politics,Male,Entertainment,Local,Neutral,Response,No
"Uba Sani to flag off free fertiliser distribution to 100,000 Kaduna farmers in 24 hours",2-Aug,The Nation,Politics,Male,Agriculture,Local,Positive,Agriculture Support,No
Cleric seeks ban on elected politicians’ defection,2-Aug,Punch,Politics,Male,Politics,Local,Neutral,Reform Call,No
Soji Ogunnaike’s new action film premieres in style,2-Aug,Punch,Politics,Male,Entertainment,Local,Positive,Artsitic Achievement,No
I stopped corrupt colleagues from killing traveller with cash-filled bag – Retired DSP,2-Aug,Punch,Politics,Male,Security,Local,Neutral,Security,No
Trump hikes tariff on Nigerian exports,2-Aug,Punch,Politics,Male,Business,International,Negative,Economic Policy,No
I’m not really Nigerian by identity – Kemi Badenoch,2-Aug,Punch,Politics,Female,Politics,International,Neutral,Personal Reflection,No
"Trump fires Labour official, alleges fake jobs data after weak report",2-Aug,Punch,Politics,Male,Politics,International,Negative,Conflict,No
Prince Julius Adelusi-Adeluyi: A living legend at 85,2-Aug,Punch,Politics,Male,profile,Local,Positive,Celebration,No
Fibroid and fertility: What every woman should know,2-Aug,Punch,Politics,Female,Health,Local,Neutral,Health Education,Yes
BBNaija’s Sammie in hot seat over alleged N4.4m audition scam,2-Aug,Punch,Politics,Male,Entertainment,Local,Negative,Scandal,No
